Screen,Index,Option text,Mapped remedies
1,0,Struggle to fall asleep,"Dim the lights, No screens, Warm shower, 4-7-8 Breathing, Brain Dump, Boring Story"
1,1,Brain races,"Dim the lights, No screens, Gratitude Journal, Brain Dump, 4-7-8 Breathing, Progressive Muscle Relaxation, Boring Story"
1,2,Wakes at night,"Cold room prep, Herbal tea, Weighted blanket, 4-7-8 Breathing, Brain Dump"
1,3,Wakes unrefreshed,"Cold room prep, Warm shower, Magnesium glycinate, Weighted blanket"
2,0,New parent,"Dim the lights, Herbal tea, Gentle stretching, Warm shower, Brain Dump, 4-7-8 Breathing"
2,1,Shift work,"Cold room prep, Dim the lights, No caffeine, Magnesium glycinate, Boring Story"
2,2,Founder / high-stress,"Dim the lights, No screens, Brain Dump, 4-7-8 Breathing, Progressive Muscle Relaxation"
2,3,ADHD / racing mind,"Dim the lights, No screens, Brain Dump, 4-7-8 Breathing, Progressive Muscle Relaxation, Boring Story"
2,4,Anxiety,"Dim the lights, Herbal tea, 4-7-8 Breathing, Brain Dump, Progressive Muscle Relaxation"
2,5,Physical discomfort,"Cold room prep, Warm shower, Gentle stretching, Progressive Muscle Relaxation, Weighted blanket"
5,0,Phone / scroll,"Dim the lights, No screens, Brain Dump, App blocking"
5,1,Watch TV / screens,"Dim the lights, No screens, Reading physical book, Boring Story, App blocking"
5,2,Read physical book,Reading physical book (keep — positive habit)
5,3,Talk / socialize,(no mapping — skip)
5,4,Dim the lights,Dim the lights (keep — positive habit)
5,5,Shower or bath,Warm shower (keep — positive habit)
5,6,Evening exercise,Finish workouts
5,7,Eat / snack,"No heavy snacks, Herbal tea"
5,8,Nothing specific,"Dim the lights, Brain Dump, 4-7-8 Breathing, Boring Story"
