Screen,Question,Option / Answer,Remedies (Easiest → Hardest to Adopt),Notes / Weight
Screen 1,Sleep Problems,I struggle to fall asleep even when I’m physically tired,"Dim the lights, No screens, Warm shower, 4-7-8 Breathing, Brain Dump, Boring Story",-
Screen 1,Sleep Problems,I wake during the night and can’t fall back asleep,"Cold room prep, Herbal tea, Weighted blanket, 4-7-8 Breathing, Brain Dump",-
Screen 1,Sleep Problems,I wake up feeling unrefreshed even after enough hours in bed,"Cold room prep, Warm shower, Magnesium, Weighted blanket",-
Screen 1,Sleep Problems,My brain races or overthinks the moment I lie down,"Dim the lights, No screens, Gratitude Journal, Brain Dump, 4-7-8 Breathing, Progressive Muscle Relaxation, Boring Story",Core insight - high priority
Screen 2,What wakes you / Factors,New parent / postpartum,"Dim the lights, Herbal tea, Gentle stretching, Warm shower, Brain Dump, 4-7-8 Breathing",Launch wedge
Screen 2,What wakes you / Factors,Shift work or irregular schedule,"Cold room prep, Dim the lights, No caffeine, Magnesium, Boring Story",-
Screen 2,What wakes you / Factors,High-stress job / founder / on-call,"Dim the lights, No screens, Brain Dump, 4-7-8 Breathing, Progressive Muscle Relaxation",-
Screen 2,What wakes you / Factors,ADHD or racing mind,"Dim the lights, No screens, Brain Dump, 4-7-8 Breathing, Progressive Muscle Relaxation, Boring Story",-
Screen 2,What wakes you / Factors,Anxiety or worry keeps me alert,"Dim the lights, Herbal tea, 4-7-8 Breathing, Brain Dump, Progressive Muscle Relaxation",-
Screen 2,What wakes you / Factors,"Physical discomfort (back pain, reflux, etc.)","Cold room prep, Warm shower, Legs up the wall, Progressive Muscle Relaxation, Weighted blanket",-
Screen 4,What do you usually do in the hour before bed?,Use my phone or scroll,"Dim the lights, No screens, Brain Dump, App Blocking (last resort)",2x weight
Screen 4,What do you usually do in the hour before bed?,Watch TV or screens,"Dim the lights, No screens, Reading physical book, Boring Story, App Blocking (last resort)",2x weight
Screen 4,What do you usually do in the hour before bed?,Have a shower or bath,Warm shower (optimize timing to 90 min before),2x weight - keep
Screen 4,What do you usually do in the hour before bed?,Dim the lights or use warm lighting,Dim the lights (reinforce),2x weight
Screen 4,What do you usually do in the hour before bed?,Read a physical book,Reading physical book (as Wind Down),2x weight - keep
Screen 4,What do you usually do in the hour before bed?,Eat or have a snack/drink,"No heavy snacks, Herbal tea (replacement)",2x weight
Screen 4,What do you usually do in the hour before bed?,Exercise (evening workout),Finish workouts 3hrs before,2x weight
Screen 4,What do you usually do in the hour before bed?,Nothing specific — I just wind down,"Dim the lights, Brain Dump, 4-7-8 Breathing, Boring Story",2x weight - strong default
